id,tenantId,bookingId,contractId,amount,dueDate,status,createdAt
144,42,,61,18050,2025-11-16T21:00:00.000Z,PENDING,2025-10-19T09:58:40.126Z
145,42,,61,18050,2026-03-16T21:00:00.000Z,PENDING,2025-10-19T09:58:42.196Z
146,43,,62,1000,2024-12-25T21:00:00.000Z,PAID,2025-10-19T10:06:33.641Z
148,43,,62,7762,2025-02-28T21:00:00.000Z,PAID,2025-10-19T10:06:37.792Z
149,43,,62,7762,2025-05-28T21:00:00.000Z,PAID,2025-10-19T10:06:40.762Z
150,43,,62,7762,2025-08-24T21:00:00.000Z,PAID,2025-10-19T10:06:43.893Z
151,43,,62,7762,2025-11-21T21:00:00.000Z,PAID,2025-10-19T10:06:46.806Z
152,44,,63,11100,2024-07-29T21:00:00.000Z,PAID,2025-10-19T10:13:32.980Z
153,44,,64,1000,2025-07-28T21:00:00.000Z,PAID,2025-10-19T10:13:36.800Z
154,44,,64,13001,2025-07-28T21:00:00.000Z,PAID,2025-10-19T10:13:38.830Z
155,45,,65,2000,2025-01-31T21:00:00.000Z,PENDING,2025-10-19T10:17:47.568Z
156,45,,65,7000,2025-01-31T21:00:00.000Z,PAID,2025-10-19T10:17:49.659Z
157,45,,65,7000,2025-04-30T21:00:00.000Z,PAID,2025-10-19T10:17:52.641Z
158,45,,65,7000,2025-07-31T21:00:00.000Z,PAID,2025-10-19T10:17:55.687Z
159,45,,65,7000,2025-10-31T21:00:00.000Z,PENDING,2025-10-19T10:17:58.966Z
160,46,,66,41400,2024-03-31T21:00:00.000Z,PAID,2025-10-19T10:23:35.630Z
161,46,,66,41400,2024-06-30T21:00:00.000Z,PAID,2025-10-19T10:23:38.626Z
162,46,,66,41400,2024-09-30T21:00:00.000Z,PAID,2025-10-19T10:23:41.595Z
163,46,,66,41400,2024-12-31T21:00:00.000Z,PAID,2025-10-19T10:23:44.794Z
164,46,,67,41400,2025-03-31T21:00:00.000Z,PAID,2025-10-19T10:23:48.778Z
165,46,,67,41400,2025-06-30T21:00:00.000Z,PENDING,2025-10-19T10:23:52.789Z
166,46,,67,41400,2025-09-30T21:00:00.000Z,PENDING,2025-10-19T10:23:54.871Z
167,46,,67,41400,2025-12-31T21:00:00.000Z,PENDING,2025-10-19T10:23:56.896Z
168,46,,66,144000,2025-10-19T10:24:26.695Z,PENDING,2025-10-19T10:24:26.696Z
20,2,,17,3500,2025-09-23T18:00:00.000Z,PAID,2025-10-14T23:10:01.547Z
21,3,,18,2800,2025-09-30T18:00:00.000Z,PAID,2025-10-14T23:10:01.553Z
22,4,,19,2600,2025-09-09T18:00:00.000Z,PAID,2025-10-14T23:10:01.557Z
23,5,,20,2800,2025-09-08T18:00:00.000Z,PAID,2025-10-14T23:10:01.563Z
24,6,,21,5000,2025-09-30T18:00:00.000Z,PAID,2025-10-14T23:10:01.567Z
25,7,,22,2800,2025-09-15T18:00:00.000Z,PAID,2025-10-14T23:10:01.572Z
26,8,,23,2800,2025-08-31T18:00:00.000Z,PAID,2025-10-14T23:10:01.576Z
28,10,,25,3000,2025-09-18T18:00:00.000Z,PAID,2025-10-14T23:10:01.585Z
29,11,,26,3000,2025-09-08T18:00:00.000Z,PAID,2025-10-14T23:10:01.589Z
30,12,,27,2800,2025-09-25T18:00:00.000Z,PAID,2025-10-14T23:10:01.593Z
31,13,,28,3000,2025-06-03T18:00:00.000Z,PAID,2025-10-14T23:10:01.598Z
32,14,,29,6000,2025-10-03T18:00:00.000Z,PENDING,2025-10-14T23:10:01.603Z
35,15,,30,15500,2024-11-24T21:00:00.000Z,PAID,2025-10-18T21:06:30.560Z
36,15,,30,15500,2025-05-24T21:00:00.000Z,PAID,2025-10-18T21:06:32.296Z
37,16,,31,500,2025-02-08T21:00:00.000Z,PAID,2025-10-18T21:13:10.452Z
38,16,,31,2000,2025-02-08T21:00:00.000Z,PAID,2025-10-18T21:13:12.263Z
39,16,,31,9000,2025-02-08T21:00:00.000Z,PAID,2025-10-18T21:13:14.043Z
40,16,,31,9000,2025-05-08T21:00:00.000Z,PAID,2025-10-18T21:13:15.775Z
41,16,,31,9000,2025-08-08T21:00:00.000Z,PAID,2025-10-18T21:13:17.538Z
42,16,,31,9000,2025-11-08T21:00:00.000Z,PENDING,2025-10-18T21:13:19.287Z
43,18,,32,2000,2025-07-18T21:00:00.000Z,PAID,2025-10-18T21:27:34.366Z
44,18,,32,16000,2025-01-18T21:00:00.000Z,PAID,2025-10-18T21:27:36.036Z
45,18,,32,16000,2025-07-18T21:00:00.000Z,PAID,2025-10-18T21:27:37.789Z
46,19,,33,2000,2025-04-30T21:00:00.000Z,PAID,2025-10-18T21:31:57.267Z
47,19,,33,18000,2025-04-30T21:00:00.000Z,PAID,2025-10-18T21:31:58.999Z
48,19,,33,18000,2025-10-31T21:00:00.000Z,PENDING,2025-10-18T21:32:00.729Z
49,20,,34,2000,2024-09-30T21:00:00.000Z,PAID,2025-10-18T21:34:49.230Z
50,20,,34,18000,2024-09-30T21:00:00.000Z,PAID,2025-10-18T21:34:50.854Z
51,20,,34,18000,2025-03-31T21:00:00.000Z,PAID,2025-10-18T21:34:52.475Z
52,20,,34,3000,2025-09-30T21:00:00.000Z,PAID,2025-10-18T21:34:53.988Z
55,21,,35,1000,2024-06-25T21:00:00.000Z,PAID,2025-10-18T21:41:53.312Z
56,21,,35,4000,2024-06-25T21:00:00.000Z,PAID,2025-10-18T21:41:55.739Z
57,21,,35,4000,2024-09-25T21:00:00.000Z,PAID,2025-10-18T21:41:58.150Z
58,21,,35,4000,2024-12-25T21:00:00.000Z,PAID,2025-10-18T21:42:00.636Z
59,21,,35,4000,2025-03-25T21:00:00.000Z,PAID,2025-10-18T21:42:03.237Z
60,21,,35,4000,2025-06-25T21:00:00.000Z,PAID,2025-10-18T21:42:05.663Z
61,21,,35,4000,2025-09-25T21:00:00.000Z,PAID,2025-10-18T21:42:08.010Z
71,23,,37,28100,2024-06-07T21:00:00.000Z,PAID,2025-10-18T22:39:28.063Z
72,23,,37,28100,2024-09-29T21:00:00.000Z,PAID,2025-10-18T22:39:29.793Z
73,23,,37,28100,2025-02-28T21:00:00.000Z,PENDING,2025-10-18T22:39:31.457Z
74,23,,37,28100,2025-08-30T21:00:00.000Z,PENDING,2025-10-18T22:39:32.421Z
75,24,,38,25875,2024-05-31T21:00:00.000Z,PAID,2025-10-18T22:46:03.611Z
76,24,,38,25875,2024-11-30T21:00:00.000Z,PAID,2025-10-18T22:46:05.362Z
77,24,,38,25875,2025-05-31T21:00:00.000Z,PAID,2025-10-18T22:46:07.160Z
78,25,,39,18400,2025-05-31T21:00:00.000Z,PAID,2025-10-18T22:53:05.203Z
79,25,,39,18400,2025-11-30T21:00:00.000Z,PENDING,2025-10-18T22:53:06.803Z
80,26,,40,25300,2025-05-17T21:00:00.000Z,PAID,2025-10-18T22:54:48.712Z
81,27,,43,2333,2025-03-31T21:00:00.000Z,PAID,2025-10-18T23:49:29.403Z
82,27,,43,4666,2025-02-02T21:00:00.000Z,PAID,2025-10-18T23:50:06.699Z
83,27,,43,2333,2025-05-02T21:00:00.000Z,PAID,2025-10-18T23:50:41.935Z
84,27,,43,2333,2025-05-28T21:00:00.000Z,PAID,2025-10-18T23:51:06.093Z
85,27,,43,2333,2025-06-28T21:00:00.000Z,PAID,2025-10-18T23:51:36.918Z
86,27,,43,2333,2025-07-28T21:00:00.000Z,PAID,2025-10-18T23:51:59.005Z
87,27,,43,2333,2025-08-26T21:00:00.000Z,PAID,2025-10-18T23:52:34.649Z
88,28,,44,9487,2024-07-17T21:00:00.000Z,PAID,2025-10-19T07:46:31.831Z
89,28,,44,9487,2024-10-19T21:00:00.000Z,PAID,2025-10-19T07:46:33.757Z
90,28,,44,9487,2025-01-19T21:00:00.000Z,PAID,2025-10-19T07:46:35.640Z
91,28,,44,9487,2025-04-19T21:00:00.000Z,PAID,2025-10-19T07:46:37.558Z
92,28,,44,9487,2025-07-19T21:00:00.000Z,PAID,2025-10-19T07:46:39.418Z
93,28,,44,9487,2025-10-19T21:00:00.000Z,PENDING,2025-10-19T07:46:41.551Z
94,29,,47,2000,2023-08-12T21:00:00.000Z,PENDING,2025-10-19T07:58:11.973Z
95,29,,47,33400,2023-08-12T21:00:00.000Z,PAID,2025-10-19T07:58:14.054Z
96,29,,47,33400,2024-08-12T21:00:00.000Z,PAID,2025-10-19T07:58:19.262Z
97,29,,47,33400,2025-08-12T21:00:00.000Z,PENDING,2025-10-19T07:58:23.277Z
98,30,,48,2000,2024-03-17T21:00:00.000Z,PENDING,2025-10-19T08:05:34.755Z
99,30,,48,25100,2024-03-17T21:00:00.000Z,PAID,2025-10-19T08:05:36.778Z
100,30,,48,24750,2024-09-11T21:00:00.000Z,PAID,2025-10-19T08:05:39.678Z
101,30,,48,24750,2025-03-07T21:00:00.000Z,PAID,2025-10-19T08:05:42.589Z
102,30,,48,24750,2025-08-31T21:00:00.000Z,PAID,2025-10-19T08:05:45.756Z
103,31,,49,2000,2025-10-07T21:00:00.000Z,PENDING,2025-10-19T08:09:54.574Z
104,31,,49,22300,2025-10-07T21:00:00.000Z,PAID,2025-10-19T08:09:56.616Z
105,31,,49,21300,2026-04-07T21:00:00.000Z,PENDING,2025-10-19T08:10:01.332Z
106,32,,50,2000,2024-12-09T21:00:00.000Z,PAID,2025-10-19T08:26:41.680Z
107,32,,50,15525,2024-12-09T21:00:00.000Z,PAID,2025-10-19T08:26:43.749Z
108,32,,50,15525,2025-06-09T21:00:00.000Z,PAID,2025-10-19T08:26:47.634Z
109,33,,51,2000,2024-07-19T21:00:00.000Z,PAID,2025-10-19T08:33:57.190Z
110,33,,51,27600,2024-07-19T21:00:00.000Z,PAID,2025-10-19T08:33:59.197Z
111,33,,51,27600,2025-07-19T21:00:00.000Z,PAID,2025-10-19T08:34:02.293Z
112,34,,52,2000,2025-05-31T21:00:00.000Z,PENDING,2025-10-19T08:49:31.330Z
113,34,,52,10062.5,2025-05-31T21:00:00.000Z,PAID,2025-10-19T08:49:33.369Z
114,34,,52,10062.5,2025-08-31T21:00:00.000Z,PAID,2025-10-19T08:49:37.137Z
115,34,,52,10062.5,2025-11-30T21:00:00.000Z,PENDING,2025-10-19T08:49:40.356Z
116,34,,52,10062.5,2026-02-28T21:00:00.000Z,PENDING,2025-10-19T08:49:42.471Z
117,34,,52,10062.5,2026-05-31T21:00:00.000Z,PENDING,2025-10-19T08:49:44.506Z
118,34,,52,10062.5,2026-08-31T21:00:00.000Z,PENDING,2025-10-19T08:49:46.486Z
119,34,,52,10062.5,2026-11-30T21:00:00.000Z,PENDING,2025-10-19T08:49:48.490Z
120,34,,52,10062.5,2027-02-28T21:00:00.000Z,PENDING,2025-10-19T08:49:50.539Z
121,35,,53,10350,2025-05-16T21:00:00.000Z,PAID,2025-10-19T08:55:02.107Z
122,35,,53,10350,2025-08-15T21:00:00.000Z,PAID,2025-10-19T08:55:06.302Z
123,35,,53,10350,2025-11-15T21:00:00.000Z,PENDING,2025-10-19T08:55:10.680Z
124,35,,53,10350,2026-02-15T21:00:00.000Z,PENDING,2025-10-19T08:55:12.864Z
125,36,,55,2500,2025-07-10T21:00:00.000Z,PAID,2025-10-19T09:05:35.677Z
126,36,,55,1200,2025-07-10T21:00:00.000Z,PAID,2025-10-19T09:05:37.745Z
127,36,,55,26875,2025-07-10T21:00:00.000Z,PAID,2025-10-19T09:05:39.788Z
128,36,,55,25875,2026-01-10T21:00:00.000Z,PENDING,2025-10-19T09:05:43.861Z
129,37,,56,2000,2025-06-30T21:00:00.000Z,PAID,2025-10-19T09:11:06.613Z
130,37,,56,52750,2025-06-30T21:00:00.000Z,PAID,2025-10-19T09:11:08.618Z
131,38,,57,14375,2025-02-12T21:00:00.000Z,PAID,2025-10-19T09:22:22.399Z
132,38,,57,14375,2025-08-12T21:00:00.000Z,PENDING,2025-10-19T09:22:27.985Z
133,38,,57,14375,2026-02-12T21:00:00.000Z,PENDING,2025-10-19T09:22:32.939Z
134,39,,58,2000,2024-11-20T21:00:00.000Z,PAID,2025-10-19T09:39:35.891Z
135,39,,58,35700,2024-11-20T21:00:00.000Z,PAID,2025-10-19T09:39:37.945Z
136,40,,59,13499.85,2024-04-29T21:00:00.000Z,PAID,2025-10-19T09:51:30.820Z
137,40,,59,13499.85,2024-10-29T21:00:00.000Z,PAID,2025-10-19T09:51:33.853Z
138,40,,59,13499.85,2025-04-29T21:00:00.000Z,PAID,2025-10-19T09:51:36.775Z
139,41,,60,2500,2025-07-16T21:00:00.000Z,PAID,2025-10-19T09:54:59.221Z
140,41,,60,30950,2025-07-16T21:00:00.000Z,PAID,2025-10-19T09:55:01.366Z
141,41,,60,29950,2026-01-16T21:00:00.000Z,PENDING,2025-10-19T09:55:05.169Z
142,42,,61,2500,2025-07-16T21:00:00.000Z,PAID,2025-10-19T09:58:34.325Z
143,42,,61,18050,2025-07-16T21:00:00.000Z,PAID,2025-10-19T09:58:36.349Z
1,20,,34,-2000,2026-02-03T12:25:57.734Z,PAID,2026-02-03T12:25:57.736Z
171,48,,71,9750,2026-05-01T00:00:00.000Z,PENDING,2026-02-03T12:54:26.045Z
172,48,,71,9750,2026-08-01T00:00:00.000Z,PENDING,2026-02-03T12:54:26.185Z
173,48,,71,9750,2026-11-01T00:00:00.000Z,PENDING,2026-02-03T12:54:26.325Z
170,48,,71,9750,2026-02-01T00:00:00.000Z,PAID,2026-02-03T12:54:25.766Z
