id,number,type,status,propertyId,createdAt,area,baths,floor,rooms
1,101,DAILY,AVAILABLE,1,2025-10-15T14:59:35.894Z,,1,0,1
2,102,DAILY,AVAILABLE,1,2025-10-15T14:59:36.262Z,,1,0,1
3,103,DAILY,AVAILABLE,1,2025-10-15T14:59:36.446Z,,1,0,1
4,104,DAILY,AVAILABLE,1,2025-10-15T14:59:36.644Z,,1,0,1
5,105,DAILY,AVAILABLE,1,2025-10-15T14:59:36.826Z,,1,0,1
6,106,DAILY,AVAILABLE,1,2025-10-15T14:59:37.023Z,,1,0,1
7,107,DAILY,AVAILABLE,1,2025-10-15T14:59:37.224Z,,1,0,1
8,108,DAILY,AVAILABLE,1,2025-10-15T14:59:37.422Z,,1,0,1
9,109,DAILY,AVAILABLE,1,2025-10-15T14:59:37.607Z,,1,0,1
10,10,DAILY,AVAILABLE,1,2025-10-15T14:59:37.790Z,,1,0,1
11,11,DAILY,AVAILABLE,1,2025-10-15T14:59:37.988Z,,1,0,1
12,12,DAILY,AVAILABLE,1,2025-10-15T14:59:38.206Z,,1,0,1
13,13,DAILY,AVAILABLE,1,2025-10-15T14:59:38.391Z,,1,0,1
14,14,DAILY,AVAILABLE,1,2025-10-15T14:59:38.590Z,,1,0,1
15,15,DAILY,AVAILABLE,1,2025-10-15T14:59:38.774Z,,1,0,1
16,16,DAILY,AVAILABLE,1,2025-10-15T14:59:38.960Z,,1,0,1
17,17,DAILY,AVAILABLE,1,2025-10-15T14:59:39.134Z,,1,0,1
18,18,DAILY,AVAILABLE,1,2025-10-15T14:59:39.303Z,,1,0,1
19,19,DAILY,AVAILABLE,1,2025-10-15T14:59:39.503Z,,1,0,1
20,20,DAILY,AVAILABLE,1,2025-10-15T14:59:39.685Z,,1,0,1
21,21,DAILY,AVAILABLE,1,2025-10-15T14:59:39.866Z,,1,0,1
22,22,DAILY,AVAILABLE,1,2025-10-15T14:59:40.050Z,,1,0,1
23,23,DAILY,AVAILABLE,1,2025-10-15T14:59:40.250Z,,1,0,1
24,24,DAILY,AVAILABLE,1,2025-10-15T14:59:40.437Z,,1,0,1
25,25,DAILY,AVAILABLE,1,2025-10-15T14:59:40.608Z,,1,0,1
26,26,DAILY,AVAILABLE,1,2025-10-15T14:59:40.778Z,,1,0,1
27,27,DAILY,AVAILABLE,1,2025-10-15T14:59:40.980Z,,1,0,1
28,28,DAILY,AVAILABLE,1,2025-10-15T14:59:41.167Z,,1,0,1
29,29,DAILY,AVAILABLE,1,2025-10-15T14:59:41.371Z,,1,0,1
30,30,DAILY,AVAILABLE,1,2025-10-15T14:59:41.572Z,,1,0,1
31,31,DAILY,AVAILABLE,1,2025-10-15T14:59:41.773Z,,1,0,1
32,32,DAILY,AVAILABLE,1,2025-10-15T14:59:41.958Z,,1,0,1
33,33,DAILY,AVAILABLE,1,2025-10-15T14:59:42.156Z,,1,0,1
34,34,DAILY,AVAILABLE,1,2025-10-15T14:59:42.338Z,,1,0,1
35,35,DAILY,AVAILABLE,1,2025-10-15T14:59:42.522Z,,1,0,1
36,36,DAILY,AVAILABLE,1,2025-10-15T14:59:42.706Z,,1,0,1
37,37,DAILY,AVAILABLE,1,2025-10-15T14:59:42.892Z,,1,0,1
38,38,DAILY,AVAILABLE,1,2025-10-15T14:59:43.090Z,,1,0,1
39,39,DAILY,AVAILABLE,1,2025-10-15T14:59:43.289Z,,1,0,1
40,40,DAILY,AVAILABLE,1,2025-10-15T14:59:43.460Z,,1,0,1
41,41,MONTHLY,AVAILABLE,1,2025-10-15T14:59:43.660Z,,1,0,1
42,42,MONTHLY,AVAILABLE,1,2025-10-15T14:59:43.848Z,,1,0,1
43,Office-1,YEARLY,AVAILABLE,2,2025-10-15T14:59:44.037Z,,1,0,1
44,Office-2,YEARLY,AVAILABLE,2,2025-10-15T14:59:44.220Z,,1,0,1
45,Office-3,YEARLY,AVAILABLE,2,2025-10-15T14:59:44.423Z,,1,0,1
46,Office-4,YEARLY,AVAILABLE,2,2025-10-15T14:59:44.594Z,,1,0,1
47,Office-5,YEARLY,AVAILABLE,2,2025-10-15T14:59:44.775Z,,1,0,1
48,Office-6,YEARLY,AVAILABLE,2,2025-10-15T14:59:44.973Z,,1,0,1
49,Office-7,YEARLY,AVAILABLE,2,2025-10-15T14:59:45.156Z,,1,0,1
50,Office-8,YEARLY,AVAILABLE,2,2025-10-15T14:59:45.341Z,,1,0,1
51,Office-9,YEARLY,AVAILABLE,2,2025-10-15T14:59:45.541Z,,1,0,1
52,Office-10,YEARLY,AVAILABLE,2,2025-10-15T14:59:45.728Z,,1,0,1
53,Office-11,YEARLY,AVAILABLE,2,2025-10-15T14:59:45.912Z,,1,0,1
54,Office-12,YEARLY,AVAILABLE,2,2025-10-15T14:59:46.099Z,,1,0,1
55,Office-13,YEARLY,AVAILABLE,2,2025-10-15T14:59:46.299Z,,1,0,1
56,Office-14,YEARLY,AVAILABLE,2,2025-10-15T14:59:46.500Z,,1,0,1
57,Office-15,YEARLY,AVAILABLE,2,2025-10-15T14:59:46.868Z,,1,0,1
58,Office-16,YEARLY,AVAILABLE,2,2025-10-15T14:59:47.034Z,,1,0,1
59,Office-17,YEARLY,AVAILABLE,2,2025-10-15T14:59:47.232Z,,1,0,1
60,Office-18,YEARLY,AVAILABLE,2,2025-10-15T14:59:47.418Z,,1,0,1
61,Office-19,YEARLY,AVAILABLE,2,2025-10-15T14:59:47.616Z,,1,0,1
62,Office-20,YEARLY,AVAILABLE,2,2025-10-15T14:59:47.785Z,,1,0,1
63,Office-21,YEARLY,AVAILABLE,2,2025-10-15T14:59:47.971Z,,1,0,1
64,Office-22,YEARLY,AVAILABLE,2,2025-10-15T14:59:48.171Z,,1,0,1
65,Office-23,YEARLY,AVAILABLE,2,2025-10-15T14:59:48.371Z,,1,0,1
66,Office-24,YEARLY,AVAILABLE,2,2025-10-15T14:59:48.555Z,,1,0,1
67,Office-25,YEARLY,AVAILABLE,2,2025-10-15T14:59:48.754Z,,1,0,1
75,Shop-1,YEARLY,AVAILABLE,4,2025-10-15T14:59:50.299Z,,1,0,1
76,Shop-2,YEARLY,AVAILABLE,4,2025-10-15T14:59:50.468Z,,1,0,1
77,Shop-3,YEARLY,AVAILABLE,4,2025-10-15T14:59:50.667Z,,1,0,1
78,Shop-4,YEARLY,AVAILABLE,4,2025-10-15T14:59:50.834Z,,1,0,1
79,Shop-5,YEARLY,AVAILABLE,4,2025-10-15T14:59:51.019Z,,1,0,1
80,Shop-6,YEARLY,AVAILABLE,4,2025-10-15T14:59:51.190Z,,1,0,1
81,Shop-7,YEARLY,AVAILABLE,4,2025-10-15T14:59:51.393Z,,1,0,1
82,Shop-8,YEARLY,AVAILABLE,4,2025-10-15T14:59:51.564Z,,1,0,1
83,Shop-9,YEARLY,AVAILABLE,4,2025-10-15T14:59:51.750Z,,1,0,1
84,Shop-10,YEARLY,AVAILABLE,4,2025-10-15T14:59:51.937Z,,1,0,1
161,101,MONTHLY,AVAILABLE,1,2025-10-14T23:10:01.464Z,,1,1,1
162,102,MONTHLY,AVAILABLE,1,2025-10-14T23:10:01.468Z,,1,1,1
163,103,MONTHLY,AVAILABLE,1,2025-10-14T23:10:01.470Z,,1,1,1
164,104,MONTHLY,AVAILABLE,1,2025-10-14T23:10:01.473Z,,1,1,1
165,105,MONTHLY,AVAILABLE,1,2025-10-14T23:10:01.475Z,,1,1,1
